GPSTime,v
102357.83,4.1796
102358.33,4.099680000000001
102358.83,4.170959999999999
102359.34,4.1472
102359.83,4.10976
102360.33,4.217040000000001
102360.83,3.8901600000000003
102361.33,4.05144
102361.83,3.92256
102362.33,3.8440799999999995
102362.83,3.83328
102363.33,3.7807199999999996
102363.83,3.59856
102364.33,3.52656
102364.83,3.992399999999999
102365.34,3.9290400000000005
102365.83,4.0896
102366.34,3.9492
102366.83,3.978
102367.34,3.95208
102367.83,3.8563199999999993
102368.34,3.9398400000000002
102368.83,3.8232
102369.33,3.80952
102369.84,3.6108
102370.34,3.57264
102370.83,3.5416800000000004
102371.33,3.76776
102371.83,3.9672000000000005
102372.33,4.02768
102372.83,4.06656
102373.33,3.86856
102373.83,4.1004000000000005
102374.33,3.99456
102374.83,3.90528
102375.33,3.983760000000001
102375.83,3.90312
102376.33,3.7929600000000008
102376.83,3.8476800000000004
102377.33,3.72168
102377.83,3.64248
102378.33,3.74544
102378.83,3.73176
102379.33,3.9492000000000003
102379.83,4.11048
102380.33,4.12488
102380.83,4.21344
102381.33,4.214879999999999
102381.83,4.15584
102382.33,4.1745600000000005
102382.83,3.9744
102383.33,4.07592
102383.83,3.8491200000000005
102384.33,3.94416
102384.83,3.8491200000000005
102385.33,3.8015999999999996
102385.83,3.6223200000000007
102386.33,3.6309599999999995
102386.83,3.8404800000000003
102387.33,4.0932
102387.83,4.150800000000001
102388.34,4.1508
102388.83,4.18536
102389.33,4.057919999999999
102389.83,4.09032
102390.33,4.0053600000000005
102390.83,3.9232799999999997
